id,category,question,expected_behavior,actual_answer,retrieved_sources,status
T11,Portfolio / Numbers,What are the top 10 holdings of HDFC Mid Cap Fund?,List the documented top holdings and percentages.,"Based on the provided documents, the top 10 equity holdings of HDFC Mid Cap Fund (as on 31st July, 2026) are:

1. **The Federal Bank Ltd.** (Industry: Banks) - 4.36% of NAV [Source 1, Page 1]
2. **Au Small Finance Bank Ltd.** (Industry: Banks) - 3.96% of NAV [Source 1, Page 1]
3. **Max Financial Services Ltd.** (Industry: Insurance) - 3.72% of NAV [Source 1, Page 1]
4. **Balkrishna Industries Ltd.** (Industry: Auto Components) - 3.37% of NAV [Source 1, Page 1]
5. **Ipca Laboratories Ltd.** (Industry: Pharmaceuticals & Biotechnology) - 3.01% of NAV [Source 1, Page 1]
6. **Indian Bank** (Industry: Banks) - 2.93% of NAV [Source 1, Page 1]
7. **Fortis Healthcare Limited** (Industry: Healthcare Services) - 2.91% of NAV [Source 1, Page 1]
8. **Glenmark Pharmaceuticals Ltd.** (Industry: Pharmaceuticals & Biotechnology) - 2.85% of NAV [Source 1, Page 1]
9. **Coforge Limited** (Industry: IT - Software) - 2.56% of NAV [Source 1, Page 1]
10. **Marico Ltd.** (Industry: Agricultural Food & Other Products) - 2.51% of NAV [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 17 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 9 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 14 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 4,SUCCESS
T12,Portfolio / Numbers,What are the top 10 holdings of HDFC Small Cap Fund?,List the documented top holdings and percentages.,"Based on the provided documents, the top 10 equity holdings of HDFC Small Cap Fund (as on 31st July, 2026) are:

1. Firstsource Solutions Ltd. (Commercial Services & Supplies) - 4.24% of NAV [Source 1, Page 1], [Source 2, Page 1]
2. Aster DM Quality Care Limited (Healthcare Services) - 3.89% of NAV [Source 2, Page 1]
3. Gabriel India Ltd. (Auto Components) - 3.34% of NAV [Source 2, Page 1]
4. eClerx Services Limited (Commercial Services & Supplies) - 2.85% of NAV [Source 2, Page 1]
5. Bank of Baroda (Banks) - 2.73% of NAV [Source 2, Page 1]
6. Krishna Institute Of Medical Sciences Limited (Healthcare Services) - 2.15% of NAV [Source 2, Page 1]
7. Eris Lifesciences Ltd (Pharmaceuticals & Biotechnology) - 2.10% of NAV [Source 2, Page 1]
8. Fortis Healthcare Limited (Healthcare Services) - 1.99% of NAV [Source 2, Page 1]
9. Indian Bank (Banks) - 1.94% of NAV [Source 2, Page 1]
10. The Federal Bank Ltd. (Banks) - 1.79% of NAV [Source 2, Page 1]",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS
T13,Portfolio / Numbers,What is the Sharpe ratio of HDFC Mid Cap Fund?,Give the documented Sharpe ratio.,"The Sharpe ratio of HDFC Mid Cap Fund is 0.854. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3,SUCCESS
T14,Portfolio / Numbers,What is the beta of HDFC Mid Cap Fund?,Give the documented beta.,"The beta of HDFC Mid Cap Fund is 0.808 [Source 1, Page 1].",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 5 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1,SUCCESS
T15,Portfolio / Numbers,What is the standard deviation of HDFC Mid Cap Fund?,Give the documented standard deviation.,"The standard deviation of HDFC Mid Cap Fund is 15.344%. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3,SUCCESS
T16,Portfolio / Numbers,What is the Sharpe ratio of HDFC Small Cap Fund?,Give the documented Sharpe ratio.,"The Sharpe ratio of HDFC Small Cap Fund is 0.411 [Source 1, Page 1].",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS
T17,Portfolio / Numbers,What is the beta of HDFC Small Cap Fund?,Give the documented beta.,"The Beta of HDFC Small Cap Fund is 0.756 [Source 1, Page 1].",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS
T18,Portfolio / Numbers,What percentage of HDFC Mid Cap Fund is invested in mid-cap stocks?,Give the documented market-cap exposure.,"HDFC Mid Cap Fund invests predominantly in mid-cap stocks, specifically 65-100%. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3,SUCCESS
T19,Portfolio / Numbers,What percentage of HDFC Small Cap Fund is invested in small-cap stocks?,Give the documented market-cap exposure.,"Based on the Market Cap Segment wise Exposure (% of Net Assets as per AMFI classification as on December 2025), the percentage of HDFC Small Cap Fund invested in small-cap stocks is shown across various periods as 75.9%, 74.9%, 74.3%, 75.0%, 75.2%, and 72.5% [Source 2, Page 1].",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS
T20,Portfolio / Numbers,What are the top sectors of HDFC Small Cap Fund?,Give sector information from the supplied documents.,I could not find enough information in the provided documents.,HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS
T21,Risk / Performance,What is the Sharpe ratio of HDFC Large & Mid Cap Fund?,Give the documented Sharpe ratio.,"The Sharpe ratio of HDFC Large & Mid Cap Fund is 0.565 [Source 1, Page 1].",HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 18,SUCCESS
T22,Risk / Performance,What is the beta of HDFC Large & Mid Cap Fund?,Give the documented beta.,"The beta of HDFC Large & Mid Cap Fund is 0.983. [Source 1, Page 1]",HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 2 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1,SUCCESS
T23,Risk / Performance,What is the standard deviation of HDFC Large & Mid Cap Fund?,Give the documented standard deviation.,"The standard deviation of HDFC Large & Mid Cap Fund is 16.082% [Source 1, Page 1].",HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 4 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1,SUCCESS
T24,Risk / Performance,What was the 1-year return of HDFC Balanced Advantage Fund?,Give the documented 1-year performance with date/context.,"Based on the provided document, the 1-year return (Last 1 Year) of HDFC Balanced Advantage Fund (Regular Plan - Growth Option) is 2.22% [Source 3, Page 16].",HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16,SUCCESS
T25,Risk / Performance,What was the 3-year return of HDFC Balanced Advantage Fund?,Give the documented 3-year performance.,"Based on the performance of HDFC Balanced Advantage Fund (Regular Plan - Growth Option) as of July 31, 2026, the 3-year scheme return (Last 3 Years) is **12.66%** [Source 3, Page 16]. 

Additionally, for the 3-year SIP performance, the scheme return is **6.42%** [Source 2, Page 16].",HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16,SUCCESS
T26,Risk / Performance,What was the 5-year return of HDFC Balanced Advantage Fund?,Give the documented 5-year performance.,"Based on the provided documents for HDFC Balanced Advantage Fund (Regular Plan - Growth Option):

* **5-year SIP Returns:** 12.38% [Source 2, Page 16]
* **Last 5 Years Scheme Returns (Performance):** 14.92% [Source 3, Page 16]",HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16,SUCCESS
T27,Risk / Performance,What does the Sharpe ratio measure?,Explain only using the supplied factsheet definition.,"The Sharpe ratio is a measure of risk-adjusted returns, which is calculated using standard deviation and excess return to determine reward per unit of risk [Source 3, Page 2].",HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Mutual Fund | HDFC_MF_Factsheet_July_2026.pdf | Page 2,SUCCESS
T28,Risk / Performance,What does beta measure?,Explain only using the supplied factsheet definition.,"Beta measures the volatility, or systematic risk, of a portfolio in comparison to the market as a whole, indicating the relation between portfolio returns and that of the market index. [Source 3, Page 2]",HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Mutual Fund | HDFC_MF_Factsheet_July_2026.pdf | Page 2,SUCCESS
T29,Comparison,What is the difference between HDFC Mid Cap Fund and HDFC Small Cap Fund?,Compare only documented characteristics.,"Based on the provided documents, the differences between HDFC Mid Cap Fund and HDFC Small Cap Fund are as follows:

**Investment Strategy and Objective**
* **HDFC Mid Cap Fund:** It is an open-ended equity scheme predominantly investing in mid-cap stocks [Source 1, Page 1]. Its investment objective is to provide long-term capital appreciation/income by investing predominantly in Mid-Cap companies [Source 1, Page 1]. It invests predominantly in mid-cap stocks (65-100%), with the balance in small-cap stocks, large-cap stocks, and debt instruments, and constructs its portfolio on a bottom-up basis focusing on good quality companies at reasonable valuations with a long-term approach and judicious diversification across stocks and sectors [Source 1, Page 1].
* **HDFC Small Cap Fund:** It is an open-ended equity scheme predominantly investing in small-cap stocks [Source 2, Page 1]. Its investment objective is to provide long-term capital appreciation/income by investing predominantly in Small-Cap companies [Source 2, Page 1]. It focuses on quality companies with sound financial strength and reasonable return on equity, aiming to invest at sensible valuations in companies trading at reasonable multiples, with the portfolio to be invested between 90-100% as far as possible [Source 2, Page 1].

**Assets Under Management (AUM as of July 2026)**
* **HDFC Mid Cap Fund:** INR 105,142.69 Cr. [Source 1, Page 1]
* **HDFC Small Cap Fund:** INR 41,679.00 Cr. [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1,SUCCESS
T30,Comparison,Compare the AUM of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Give both documented AUM values.,"HDFC Mid Cap Fund (July 2026): INR 105,142.69 Cr. [Source 1, Page 1]
HDFC Small Cap Fund (July 2026): INR 41,679.00 Cr. [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1,SUCCESS
T31,Comparison,Compare the Sharpe ratios of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Give both documented Sharpe ratios without unsupported conclusions.,"HDFC Mid Cap Fund: 0.854 [Source 1, Page 1]
HDFC Small Cap Fund: 0.411 [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1,SUCCESS
T32,Comparison,Compare the beta of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Give both documented beta values.,"Based on the provided documents, the beta for each fund is as follows:

HDFC Mid Cap Fund: 0.808 [Source 1, Page 1]
HDFC Small Cap Fund: 0.756 [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 5,SUCCESS
T33,Comparison,How does the market-cap allocation differ between HDFC Mid Cap Fund and HDFC Small Cap Fund?,Compare documented market-cap exposures.,"Based on the provided documents, the market-cap segment-wise exposure (% of Net Assets as per AMFI classification as on December 2025) differs between the two funds as follows:

**HDFC Mid Cap Fund:**
* Large Cap: ranges across reported intervals from approximately 8.3% to 10.4% [Source 1, Page 1]
* Mid Cap: ranges across reported intervals from approximately 64.0% to 65.1% [Source 1, Page 1]
* Small Cap: reaches 20.7% (in a reported period) [Source 1, Page 1]

**HDFC Small Cap Fund:**
* Large Cap: ranges across reported intervals from approximately 5.2% to 6.8% [Source 2, Page 1]
* Mid Cap: ranges across reported intervals from approximately 9.4% to 10.8% [Source 2, Page 1]
* Small Cap: ranges across reported intervals from approximately 72.5% to 75.9% [Source 2, Page 1]

Additionally, regarding asset allocation under normal circumstances, HDFC Mid Cap Fund has a minimum allocation of 65% and a maximum allocation of 100% in equity and equity-related instruments of Mid Cap companies, and 0% to 35% in equity and equity-related instruments other than Mid Cap [Source 3, Page 14].",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 14,SUCCESS
T34,Comparison,Compare the top holdings of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Use only documented holdings.,"Based on the provided documents, the top equity holdings as of July 31st, 2026, for each fund are as follows:

**HDFC Mid Cap Fund**
Top 10 Equity Holdings (% to NAV):
* The Federal Bank Ltd. (Banks): 4.36 [Source 1, Page 1]
* Au Small Finance Bank Ltd. (Banks): 3.96 [Source 1, Page 1]
* Max Financial Services Ltd. (Insurance): 3.72 [Source 1, Page 1]
* Balkrishna Industries Ltd. (Auto Components): 3.37 [Source 1, Page 1]
* Ipca Laboratories Ltd. (Pharmaceuticals & Biotechnology): 3.01 [Source 1, Page 1]
* Indian Bank (Banks): 2.93 [Source 1, Page 1]
* Fortis Healthcare Limited (Healthcare Services): 2.91 [Source 1, Page 1]
* Glenmark Pharmaceuticals Ltd. (Pharmaceuticals & Biotechnology): 2.85 [Source 1, Page 1]
* Coforge Limited (IT - Software): 2.56 [Source 1, Page 1]
* Marico Ltd. (Agricultural Food & Other Products): 2.51 [Source 1, Page 1]

**HDFC Small Cap Fund**
Top Equity Holdings (% to NAV):
* Firstsource Solutions Ltd. (Commercial Services & Supplies): 4.24 [Source 4, Page 1]
* Aster DM Quality Care Limited (Healthcare Services): 3.89 [Source 4, Page 1]
* Gabriel India Ltd. (Auto Components): 3.34 [Source 4, Page 1]
* eClerx Services Limited (Commercial Services & Supplies): 2.85 [Source 4, Page 1]
* Bank of Baroda (Banks): 2.73 [Source 4, Page 1]
* Krishna Institute Of Medical Sciences Limited (Healthcare Services): 2.15 [Source 4, Page 1]
* Eris Lifesciences Ltd (Pharmaceuticals & Biotechnology): 2.10 [Source 4, Page 1]
* Fortis Healthcare Limited (Healthcare Services): 1.99 [Source 4, Page 1]
* Indian Bank (Banks): 1.94 [Source 4, Page 1]
* The Federal Bank Ltd. (Banks): 1.79 [Source 4, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS
T35,Comparison,Compare HDFC Flexi Cap Fund and HDFC Mid Cap Fund.,Provide an evidence-based comparison without recommending either fund.,"Based on the provided documents, here is a comparison between HDFC Mid Cap Fund and HDFC Flexi Cap Fund:

**HDFC Mid Cap Fund**
* **Scheme Type:** An open ended equity scheme predominantly investing in mid cap stocks [Source 1, Page 1].
* **Investment Strategy & Portfolio Construction:** 
  * Invests predominantly in mid-cap stocks (65-100%), and the balance in small-cap stocks, large-cap stocks, and debt instruments [Source 1, Page 1].
  * Portfolio constructed on a bottom-up basis [Source 1, Page 1].
  * Focus on good quality companies at reasonable valuations [Source 1, Page 1].
  * Long-term approach to portfolio construction [Source 1, Page 1].
  * Judicious diversification across stocks & sectors [Source 1, Page 1].
  * Identifying companies with sound financial strength and sustainable business models, with reasonable growth prospects [Source 1, Page 1].
* **Investment Objective:** To provide long term capital appreciation/income by investing predominantly in Mid-Cap companies (with no assurance that the objective will be achieved) [Source 1, Page 1].
* **AUM (July 2026):** INR 105,142.69 Cr. [Source 1, Page 1]

**HDFC Flexi Cap Fund**
* **Scheme Type:** An open ended dynamic equity scheme investing across large cap, mid cap, small cap stocks [Source 2, Page 1].
* **Investment Strategy & Portfolio Construction:** 
  * A portfolio that invests in companies spanning entire market capitalization [Source 2, Page 1].
  * Preference for strong companies (not only survive, but emerge stronger in challenging times, reducing permanent losses) [Source 2, Page 1].
  * Effective diversification of portfolio across key sectors and variables across the economy to reduce risk [Source 2, Page 1].
  * A long-term approach to investing and a low portfolio turnover [Source 2, Page 1].
  * Long-term oriented, disciplined, and consistent approach to investments [Source 2, Page 1].
* **Investment Objective:** To generate capital appreciation / income from a portfolio, predominantly invested in equity & equity related instruments (with no assurance that the objective will be achieved) [Source 2, Page 1].",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 3,SUCCESS
