id,category,question,expected_behavior,actual_answer,retrieved_sources,status,answer_accuracy,retrieval_relevance,groundedness,citation_correctness,hallucination,pass_fail,failure_type,notes
T11,Portfolio / Numbers,What are the top 10 holdings of HDFC Mid Cap Fund?,List the documented top holdings and percentages.,"The top 10 equity holdings of HDFC Mid Cap Fund as on 31st July, 2026 are:

- The Federal Bank Ltd. [Source 1, Page 1]
- Au Small Finance Bank Ltd. [Source 1, Page 1]
- Max Financial Services Ltd. [Source 1, Page 1]
- Balkrishna Industries Ltd. [Source 1, Page 1]
- Ipca Laboratories Ltd. [Source 1, Page 1]
- Indian Bank [Source 1, Page 1]
- Fortis Healthcare Limited [Source 1, Page 1]
- Glenmark Pharmaceuticals Ltd. [Source 1, Page 1]
- Coforge Limited [Source 1, Page 1]
- Marico Ltd. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 17 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 9 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 14 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 4,SUCCESS,2,2,2,2,2,PASS,,
T12,Portfolio / Numbers,What are the top 10 holdings of HDFC Small Cap Fund?,List the documented top holdings and percentages.,I could not find enough information in the provided documents.,HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,1,2,PASS,Citation Failure,"Answer appears grounded, but explicit source/page citation was not detected."
T13,Portfolio / Numbers,What is the Sharpe ratio of HDFC Mid Cap Fund?,Give the documented Sharpe ratio.,"The Sharpe ratio of HDFC Mid Cap Fund is 0.854. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T14,Portfolio / Numbers,What is the beta of HDFC Mid Cap Fund?,Give the documented beta.,"The beta of HDFC Mid Cap Fund is 0.808 [Source 1, Page 1].",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 5 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T15,Portfolio / Numbers,What is the standard deviation of HDFC Mid Cap Fund?,Give the documented standard deviation.,"The standard deviation of HDFC Mid Cap Fund is 15.344%. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T16,Portfolio / Numbers,What is the Sharpe ratio of HDFC Small Cap Fund?,Give the documented Sharpe ratio.,"The Sharpe ratio of HDFC Small Cap Fund is 0.411. [Source 1, Page 1]",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T17,Portfolio / Numbers,What is the beta of HDFC Small Cap Fund?,Give the documented beta.,"The beta of HDFC Small Cap Fund is 0.756. [Source 1, Page 1]",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T18,Portfolio / Numbers,What percentage of HDFC Mid Cap Fund is invested in mid-cap stocks?,Give the documented market-cap exposure.,"HDFC Mid Cap Fund invests predominantly in mid-cap stocks (65-100 %). [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T19,Portfolio / Numbers,What percentage of HDFC Small Cap Fund is invested in small-cap stocks?,Give the documented market-cap exposure.,"Based on the provided documents, the percentage of HDFC Small Cap Fund invested in small-cap stocks varies across the reported periods as follows:

- December 2025: 75.9%, 74.9%, 74.3%, 75.0%, 75.2%, and 72.5% [Source 2, Page 1]",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T20,Portfolio / Numbers,What are the top sectors of HDFC Small Cap Fund?,Give sector information from the supplied documents.,I could not find enough information in the provided documents.,HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,1,2,PASS,Citation Failure,"Answer appears grounded, but explicit source/page citation was not detected."
T21,Risk / Performance,What is the Sharpe ratio of HDFC Large & Mid Cap Fund?,Give the documented Sharpe ratio.,"The Sharpe ratio of HDFC Large & Mid Cap Fund is 0.565.
[Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T22,Risk / Performance,What is the beta of HDFC Large & Mid Cap Fund?,Give the documented beta.,"The beta of HDFC Large & Mid Cap Fund is 0.983. [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 5,SUCCESS,2,2,2,2,2,PASS,,
T23,Risk / Performance,What is the standard deviation of HDFC Large & Mid Cap Fund?,Give the documented standard deviation.,"The standard deviation of HDFC Large & Mid Cap Fund is 16.082%. [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 4,SUCCESS,2,2,2,2,2,PASS,,
T24,Risk / Performance,What was the 1-year return of HDFC Balanced Advantage Fund?,Give the documented 1-year performance with date/context.,I could not find enough information in the provided documents.,HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16,SUCCESS,2,2,2,1,2,PASS,Citation Failure,"Answer appears grounded, but explicit source/page citation was not detected."
T25,Risk / Performance,What was the 3-year return of HDFC Balanced Advantage Fund?,Give the documented 3-year performance.,"The 3-year return (Last 3 Years) of HDFC Balanced Advantage Fund is 12.66% [Source 3, Page 16].",HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16,SUCCESS,2,2,2,2,2,PASS,,
T26,Risk / Performance,What was the 5-year return of HDFC Balanced Advantage Fund?,Give the documented 5-year performance.,I could not find enough information in the provided documents.,HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16,SUCCESS,2,2,2,1,2,PASS,Citation Failure,"Answer appears grounded, but explicit source/page citation was not detected."
T27,Risk / Performance,What does the Sharpe ratio measure?,Explain only using the supplied factsheet definition.,"The Sharpe Ratio is a measure of risk-adjusted returns, calculated using standard deviation and excess return to determine reward per unit of risk.
[Source 3, Page 2]",HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Mutual Fund | HDFC_MF_Factsheet_July_2026.pdf | Page 2,SUCCESS,2,2,2,2,2,PASS,,
T28,Risk / Performance,What does beta measure?,Explain only using the supplied factsheet definition.,"Beta measures the volatility, or systematic risk, of a portfolio in comparison to the market as a whole, indicating the relation between portfolio returns and that of the market index. [Source 3, Page 2]",HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Mutual Fund | HDFC_MF_Factsheet_July_2026.pdf | Page 2,SUCCESS,2,2,2,2,2,PASS,,
T29,Comparison,What is the difference between HDFC Mid Cap Fund and HDFC Small Cap Fund?,Compare only documented characteristics.,"- HDFC Mid Cap Fund: An open ended equity scheme predominantly investing in mid cap stocks, with an investment objective to provide long term capital appreciation/income by investing predominantly in Mid-Cap companies, an AUM of INR 105,142.69 Cr. as of July 2026, and an investment strategy that invests predominantly in mid-cap stocks (65-100 %), and the balance in small-cap stocks, large-cap stocks, and debt instruments on a bottom up basis. [Source 1, Page 1]
- HDFC Small Cap Fund: An open ended equity scheme predominantly investing in small cap stocks, with an investment objective to provide long-term capital appreciation /income by investing predominantly in Small-Cap companies, an AUM of INR 41,679.00 Cr. as of July 2026, and an investment strategy focused on quality companies with sound financial strength, reasonable return on equity, and a portfolio invested between 90-100%, as far as possible. [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T30,Comparison,Compare the AUM of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Give both documented AUM values.,"- HDFC Mid Cap Fund: AUM (July 2026) = INR 105,142.69 Cr. [Source 1, Page 1]
- HDFC Small Cap Fund: AUM (July 2026) = INR 41,679.00 Cr. [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T31,Comparison,Compare the Sharpe ratios of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Give both documented Sharpe ratios without unsupported conclusions.,"- HDFC Mid Cap Fund: Sharpe Ratio = 0.854 [Source 1, Page 1]
- HDFC Small Cap Fund: Sharpe Ratio = 0.411 [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T32,Comparison,Compare the beta of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Give both documented beta values.,"- HDFC Mid Cap Fund: Beta = 0.808 [Source 1, Page 1]
- HDFC Small Cap Fund: Beta = 0.756 [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 5,SUCCESS,2,2,2,2,2,PASS,,
T33,Comparison,How does the market-cap allocation differ between HDFC Mid Cap Fund and HDFC Small Cap Fund?,Compare documented market-cap exposures.,"- HDFC Mid Cap Fund: Invests predominantly in mid-cap stocks (65-100%), and the balance in small-cap stocks, large-cap stocks, and debt instruments [Source 1, Page 1]
- HDFC Small Cap Fund: Portfolio to be invested between 90-100%, as far as possible [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T34,Comparison,Compare the top holdings of HDFC Mid Cap Fund and HDFC Small Cap Fund.,Use only documented holdings.,"- HDFC Mid Cap Fund (Top 10 Equity Holdings as on 31st July, 2026): The Federal Bank Ltd. (Banks, 4.36%), Au Small Finance Bank Ltd. (Banks, 3.96%), Max Financial Services Ltd. (Insurance, 3.72%), Balkrishna Industries Ltd. (Auto Components, 3.37%), Ipca Laboratories Ltd. (Pharmaceuticals & Biotechnology, 3.01%), Indian Bank (Banks, 2.93%), Fortis Healthcare Limited (Healthcare Services, 2.91%), Glenmark Pharmaceuticals Ltd. (Pharmaceuticals & Biotechnology, 2.85%), Coforge Limited (IT - Software, 2.56%), and Marico Ltd. (Agricultural Food & Other Products, 2.51%). [Source 1, Page 1]

- HDFC Small Cap Fund (Top 10 Equity Holdings as on 31st July, 2026): Firstsource Solutions Ltd. (Commercial Services & Supplies, 4.24%), Aster DM Quality Care Limited (Healthcare Services, 3.89%), Gabriel India Ltd. (Auto Components, 3.34%), eClerx Services Limited (Commercial Services & Supplies, 2.85%), Bank of Baroda (Banks, 2.73%), Krishna Institute Of Medical Sciences Limited (Healthcare Services, 2.15%), Eris Lifesciences Ltd (Pharmaceuticals & Biotechnology, 2.10%), Fortis Healthcare Limited (Healthcare Services, 1.99%), Indian Bank (Banks, 1.94%), and The Federal Bank Ltd. (Banks, 1.79%). [Source 4, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T35,Comparison,Compare HDFC Flexi Cap Fund and HDFC Mid Cap Fund.,Provide an evidence-based comparison without recommending either fund.,"- HDFC Flexi Cap Fund: An open ended dynamic equity scheme investing across large cap, mid cap, small cap stocks. Investment strategy includes a portfolio that invests in companies spanning entire market capitalization, preference for strong companies, effective diversification of portfolio across key sectors and variables, a long-term approach to investing and a low portfolio turnover, and a long term oriented, disciplined and consistent approach to investments. Investment objective is to generate capital appreciation / income from a portfolio, predominantly invested in equity & equity related instruments. [Source 2, Page 1]
- HDFC Mid Cap Fund: An open ended equity scheme predominantly investing in mid cap stocks. Investment strategy includes investing predominantly in mid-cap stocks (65-100 %), and the balance in small-cap stocks, large-cap stocks, and debt instruments, portfolio constructed on a bottom up basis, focus on good quality companies at reasonable valuations, long term approach to portfolio construction, judicious diversification across stocks & sectors, and identifying companies with sound financial strength and sustainable business models, with reasonable growth prospects. Investment objective is to provide long term capital appreciation/income by investing predominantly in Mid-Cap companies. AUM for July 2026 is INR 105,142.69 Cr. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T36,Paraphrased,How much money does HDFC Mid Cap Fund manage?,Recognize this as an AUM question.,"The AUM (Assets Under Management) for HDFC Mid Cap Fund as of July 2026 is INR 105,142.69 Cr. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T37,Paraphrased,What is the main purpose of the HDFC Small Cap Fund?,Recognize this as an investment-objective question.,"The investment objective of HDFC Small Cap Fund is to provide long-term capital appreciation/income by investing predominantly in Small-Cap companies [Source 1, Page 1]. Additionally, its mission is to be the wealth creator for every Indian [Source 3, Page 3].",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T38,Paraphrased,Which companies make up the biggest positions in HDFC Small Cap Fund?,Recognize this as a top-holdings question.,"The top equity holdings in HDFC Small Cap Fund as of 31st July, 2026 are:

- Firstsource Solutions Ltd.: 4.24% of NAV [Source 2, Page 1]
- Aster DM Quality Care Limited: 3.89% of NAV [Source 2, Page 1]
- Gabriel India Ltd.: 3.34% of NAV [Source 2, Page 1]
- eClerx Services Limited: 2.85% of NAV [Source 2, Page 1]
- Bank of Baroda: 2.73% of NAV [Source 2, Page 1]
- Krishna Institute Of Medical Sciences Limited: 2.15% of NAV [Source 2, Page 1]
- Eris Lifesciences Ltd: 2.10% of NAV [Source 2, Page 1]
- Fortis Healthcare Limited: 1.99% of NAV [Source 2, Page 1]
- Indian Bank: 1.94% of NAV [Source 2, Page 1]
- The Federal Bank Ltd.: 1.79% of NAV [Source 2, Page 1]",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T39,Paraphrased,How risky is HDFC Mid Cap Fund according to its Sharpe ratio?,Give the documented Sharpe ratio and avoid unsupported risk conclusions.,"The Sharpe Ratio of HDFC Mid Cap Fund is 0.854. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
